token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
67580,BANKNIFTY26MAY2657100CE,BANKNIFTY,26MAY2026,5710000.000000,30,OPTIDX,NFO,5.000000
67588,BANKNIFTY26MAY2657400PE,BANKNIFTY,26MAY2026,5740000.000000,30,OPTIDX,NFO,5.000000
67617,BANKNIFTY26MAY2658300PE,BANKNIFTY,26MAY2026,5830000.000000,30,OPTIDX,NFO,5.000000
67625,BANKNIFTY26MAY2658700CE,BANKNIFTY,26MAY2026,5870000.000000,30,OPTIDX,NFO,5.000000
148868,VBL30JUN26525CE,VBL,30JUN2026,52500.000000,1125,OPTSTK,NFO,5.000000
148870,VBL30JUN26535CE,VBL,30JUN2026,53500.000000,1125,OPTSTK,NFO,5.000000
148872,VBL30JUN26545CE,VBL,30JUN2026,54500.000000,1125,OPTSTK,NFO,5.000000
148907,MPHASIS26MAY262160PE,MPHASIS,26MAY2026,216000.000000,275,OPTSTK,NFO,5.000000
67661,BANKNIFTY26MAY2659000PE,BANKNIFTY,26MAY2026,5900000.000000,30,OPTIDX,NFO,5.000000
67740,ALKEM30JUN265850PE,ALKEM,30JUN2026,585000.000000,125,OPTSTK,NFO,5.000000
67765,NIFTY26DEC2815000PE,NIFTY,26DEC2028,1500000.000000,65,OPTIDX,NFO,5.000000
67770,NIFTY26DEC2818000CE,NIFTY,26DEC2028,1800000.000000,65,OPTIDX,NFO,5.000000
67790,NIFTY26DEC2828000CE,NIFTY,26DEC2028,2800000.000000,65,OPTIDX,NFO,5.000000
67807,BANKNIFTY26MAY2659400PE,BANKNIFTY,26MAY2026,5940000.000000,30,OPTIDX,NFO,5.000000
67910,ALKEM28JUL264600CE,ALKEM,28JUL2026,460000.000000,125,OPTSTK,NFO,5.000000
67931,ALKEM28JUL264900CE,ALKEM,28JUL2026,490000.000000,125,OPTSTK,NFO,5.000000
148911,MPHASIS26MAY262220PE,MPHASIS,26MAY2026,222000.000000,275,OPTSTK,NFO,5.000000
148915,MPHASIS26MAY262240PE,MPHASIS,26MAY2026,224000.000000,275,OPTSTK,NFO,5.000000
148929,MPHASIS26MAY262340PE,MPHASIS,26MAY2026,234000.000000,275,OPTSTK,NFO,5.000000
148943,VBL28JUL26480CE,VBL,28JUL2026,48000.000000,1275,OPTSTK,NFO,5.000000
67934,ALKEM28JUL265000PE,ALKEM,28JUL2026,500000.000000,125,OPTSTK,NFO,5.000000
67937,ALKEM28JUL265200CE,ALKEM,28JUL2026,520000.000000,125,OPTSTK,NFO,5.000000
67951,ALKEM28JUL265600PE,ALKEM,28JUL2026,560000.000000,125,OPTSTK,NFO,5.000000
67956,ALKEM28JUL265900CE,ALKEM,28JUL2026,590000.000000,125,OPTSTK,NFO,5.000000
148946,VBL28JUL26490PE,VBL,28JUL2026,49000.000000,1275,OPTSTK,NFO,5.000000
148951,VBL28JUL26520CE,VBL,28JUL2026,52000.000000,1275,OPTSTK,NFO,5.000000
148969,VBL28JUL26580CE,VBL,28JUL2026,58000.000000,1275,OPTSTK,NFO,5.000000
149091,MPHASIS26MAY262440PE,MPHASIS,26MAY2026,244000.000000,275,OPTSTK,NFO,5.000000
67963,ALKEM28JUL266100PE,ALKEM,28JUL2026,610000.000000,125,OPTSTK,NFO,5.000000
67968,ALKEM28JUL266400CE,ALKEM,28JUL2026,640000.000000,125,OPTSTK,NFO,5.000000
67971,ALKEM28JUL266400PE,ALKEM,28JUL2026,640000.000000,125,OPTSTK,NFO,5.000000
68015,AMBER30JUN266900PE,AMBER,30JUN2026,690000.000000,100,OPTSTK,NFO,5.000000
149163,MPHASIS26MAY262520PE,MPHASIS,26MAY2026,252000.000000,275,OPTSTK,NFO,5.000000
149170,VEDL28JUL26360CE,VEDL,28JUL2026,36000.000000,1150,OPTSTK,NFO,5.000000
